,hist_name,map_name,mi,mri_key,component,dice,jaccard
30,23S-1,cell_count_100,-0.3649266334919783,mri_1,RGB Mean,0.9478071765132294,0.900792283844299
31,23S-2,cell_count_100,-0.3780305284353378,mri_1,RGB Mean,0.949698551246288,0.9042152159013024
32,23S-3,cell_count_100,-0.3825129103620591,mri_1,RGB Mean,0.9532174556213018,0.910616498851793
33,23S-3,cell_count_100,-0.3678642139159055,mri_2,RGB Mean,0.9543797418464872,0.9127402940067848
34,23S-4,cell_count_100,-0.3482708166798167,mri_2,RGB Mean,0.9469096671949286,0.8991723100075244
35,23S-5,cell_count_100,-0.370138020471259,mri_2,RGB Mean,0.952073552425665,0.9085308941571776
36,23T-1,cell_count_100,-0.289554392215729,mri_1,H&E,0.8853398853398854,0.7942689199118296
37,23T-2,cell_count_100,-0.2671127897546829,mri_1,H&E,0.9065504135926672,0.8290738090370068
38,23T-3,cell_count_100,-0.3042045896326208,mri_1,H&E,0.9047824213700992,0.8261211644374509
39,23T-3,cell_count_100,-0.3898004804576321,mri_2,H&E,0.9612701908957416,0.9254285209400954
40,23T-4,cell_count_100,-0.3466449161051634,mri_2,H&E,0.9534256763038024,0.9109966246224906
41,23T-5,cell_count_100,-0.3423026444294508,mri_2,H&E,0.9377230549607424,0.8827481941878045
42,23T-1,cell_count_100,-0.2918173554450617,mri_1,RB Mean,0.8958182756840475,0.8112960538619787
43,23T-2,cell_count_100,-0.256274566416282,mri_1,RB Mean,0.907103825136612,0.83
44,23T-3,cell_count_100,-0.3064582455395063,mri_1,RB Mean,0.9028095733610824,0.8228376327769348
45,23T-3,cell_count_100,-0.3828953962983795,mri_2,RB Mean,0.96250347190075,0.9277172943066214
46,23T-4,cell_count_100,-0.3529024449357751,mri_2,RB Mean,0.9559970293353136,0.9157033611950915
47,23T-5,cell_count_100,-0.3510637880757922,mri_2,RB Mean,0.96215306980656,0.9270664505672608
48,23T-1,cell_count_100,-0.2797257020788734,mri_1,RGB Mean,0.8912704193112059,0.8038663663663663
49,23T-2,cell_count_100,-0.2632911910048351,mri_1,RGB Mean,0.9075125208681136,0.8306845965770171
50,23T-3,cell_count_100,-0.3108979879599756,mri_1,RGB Mean,0.8960197469916693,0.8116266070430408
51,23T-3,cell_count_100,-0.3878119479486018,mri_2,RGB Mean,0.9558021098581304,0.9153457585786448
52,23T-4,cell_count_100,-0.3495219901260536,mri_2,RGB Mean,0.9586604862359284,0.9206031976744186
53,23T-5,cell_count_100,-0.3472454336272979,mri_2,RGB Mean,0.9496230924802354,0.90407841764397
54,23U-1,cell_count_100,-0.4029470181619047,mri_1,H&E,0.96445954633116,0.931358637814828
55,23U-2,cell_count_100,-0.3864324179493654,mri_1,H&E,0.9698267833861052,0.9414210811788104
56,23U-3,cell_count_100,-0.4015288495888318,mri_1,H&E,0.9646230783478422,0.9316636851520572
57,23U-3,cell_count_100,-0.3815788946535249,mri_2,H&E,0.9570716749712532,0.9176773245130466
58,23U-4,cell_count_100,-0.3721650599700352,mri_2,H&E,0.9530643910007758,0.9103371619118192
59,23U-5,cell_count_100,-0.368818409054861,mri_2,H&E,0.9538520213577422,0.911775428363106
60,23U-1,cell_count_100,-0.4005976335769794,mri_1,RB Mean,0.9688052891330664,0.9394979230630304
61,23U-2,cell_count_100,-0.3840550422155652,mri_1,RB Mean,0.9649963154016212,0.9323602705589178
62,23U-3,cell_count_100,-0.395581482246969,mri_1,RB Mean,0.9703731483217702,0.9424512839191403
63,23U-3,cell_count_100,-0.3910751074281355,mri_2,RB Mean,0.9661966389801044,0.9346038863976084
64,23U-4,cell_count_100,-0.3735990328281466,mri_2,RB Mean,0.9590139880661254,0.9212554031197144
65,23U-5,cell_count_100,-0.3779985403036874,mri_2,RB Mean,0.9602043824309716,0.9234549234549234
66,23U-1,cell_count_100,-0.3970433974633798,mri_1,RGB Mean,0.9701240135287486,0.9419813902572524
67,23U-2,cell_count_100,-0.3880005795982183,mri_1,RGB Mean,0.9666543846720708,0.9354608664646104
68,23U-3,cell_count_100,-0.4074741928927237,mri_1,RGB Mean,0.9660113907771448,0.9342572850035537
69,23U-3,cell_count_100,-0.3843206013728523,mri_2,RGB Mean,0.9616102110947472,0.9260590015128594
70,23U-4,cell_count_100,-0.3811164522191365,mri_2,RGB Mean,0.9598620557524667,0.9228218824829618
71,23U-5,cell_count_100,-0.3762350338969588,mri_2,RGB Mean,0.9581931763575204,0.9197416974169742
72,23W-1,cell_count_100,-0.2878932740428949,mri_1,H&E,0.9611611611611612,0.9252264405473116
73,23W-2,cell_count_100,-0.2866353179330673,mri_1,H&E,0.959175505303182,0.9215535473947318
74,23W-3,cell_count_100,-0.3161197113399819,mri_1,H&E,0.9610212434223347,0.924967173138248
75,23W-3,cell_count_100,-0.3057479272926613,mri_2,H&E,0.9550913311131296,0.9140428819779796
76,23W-4,cell_count_100,-0.3156817229984652,mri_2,H&E,0.9485702938840348,0.9021718602455148
77,23W-5,cell_count_100,-0.3057541355814759,mri_2,H&E,0.9217307692307692,0.8548243267344391
78,23W-1,cell_count_100,-0.2886832589097743,mri_1,RB Mean,0.9609181755219156,0.9247762330984576
79,23W-2,cell_count_100,-0.2914417124971878,mri_1,RB Mean,0.9670613991441934,0.936223506743738
80,23W-3,cell_count_100,-0.313151541014507,mri_1,RB Mean,0.9643523519591476,0.931158733168974
81,23W-3,cell_count_100,-0.3024300807101268,mri_2,RB Mean,0.9549765398822002,0.9138326327856324
82,23W-4,cell_count_100,-0.3164769807003815,mri_2,RB Mean,0.947057665813816,0.8994392523364486
83,23W-5,cell_count_100,-0.3027169941766879,mri_2,RB Mean,0.9599753061014508,0.9230312623664424
84,23W-1,cell_count_100,-0.2908934800300425,mri_1,RGB Mean,0.9654760720326336,0.9332563954606656
85,23W-2,cell_count_100,-0.2897426272301627,mri_1,RGB Mean,0.966461599523715,0.935099846390169
86,23W-3,cell_count_100,-0.3068419894423079,mri_1,RGB Mean,0.9611083621969322,0.925128595923033
87,23W-3,cell_count_100,-0.3097210491552496,mri_2,RGB Mean,0.9418178213896322,0.8900337204945673
88,23W-4,cell_count_100,-0.3122144164438035,mri_2,RGB Mean,0.9572649572649572,0.918032786885246
89,23W-5,cell_count_100,-0.293350594696368,mri_2,RGB Mean,0.9313596268883708,0.8715370018975332
90,23X-1,cell_count_100,-0.3341813887423759,mri_1,H&E,0.9500742390497402,0.9048965882976844
91,23X-2,cell_count_100,-0.2597501152903589,mri_1,H&E,0.9489091926160732,0.9027851694163562
92,23X-3,cell_count_100,-0.3181540801198453,mri_1,H&E,0.939626168224299,0.8861272695222986
93,23X-3,cell_count_100,-0.3041775990437063,mri_2,H&E,0.9302547466844766,0.8696039957188726
94,23X-4,cell_count_100,-0.2723937628141875,mri_2,H&E,0.94978838014621,0.9043780912254992
95,23X-5,cell_count_100,-0.2868550081844533,mri_2,H&E,0.9504266947933646,0.9055362689566964
96,23X-1,cell_count_100,-0.3406402968456246,mri_1,RB Mean,0.9573301106256392,0.9181526390870184
97,23X-2,cell_count_100,-0.2566680712807805,mri_1,RB Mean,0.9623438820546528,0.927420814479638
98,23X-3,cell_count_100,-0.2890557653440309,mri_1,RB Mean,0.9113948539369318,0.8372134352230318
99,23X-3,cell_count_100,-0.2892693481030789,mri_2,RB Mean,0.9156025538707104,0.8443422263109476
100,23X-4,cell_count_100,-0.2678011492069438,mri_2,RB Mean,0.9698525915359012,0.9414697193500738
101,23X-5,cell_count_100,-0.2674095614025064,mri_2,RB Mean,0.956462051382624,0.9165570381507236
102,23X-1,cell_count_100,-0.3397684904590743,mri_1,RGB Mean,0.95855788886824,0.9204139900071378
103,23X-2,cell_count_100,-0.2615496484367438,mri_1,RGB Mean,0.9623026926648096,0.927344309234073
104,23X-3,cell_count_100,-0.1935377790417853,mri_1,RGB Mean,0.7894389438943895,0.6521264994547438
