,hist_name,map_name,mi,mri_key,reg_type,dice,jaccard
34,23S-1,cell_count_100,0.3556333940442942,mri_1,Rigid,0.9300246327889792,0.8692019099590723
35,23S-2,cell_count_100,0.3664213929087128,mri_1,Rigid,0.9206515111924048,0.8529696578437702
36,23S-3,cell_count_100,0.3673652640707038,mri_1,Rigid,0.9436828454983328,0.8933707471062785
37,23S-3,cell_count_100,0.0950650563825998,mri_2,Rigid,0.4452960337229354,0.2864185358639389
38,23S-4,cell_count_100,0.3391956570654401,mri_2,Rigid,0.9205013093901984,0.8527118350372552
39,23S-5,cell_count_100,0.3522800880353853,mri_2,Rigid,0.9342143620639394,0.8765499635302699
40,23S-1,cell_count_100,0.3649266334919783,mri_1,SyN,0.9478071765132294,0.900792283844299
41,23S-2,cell_count_100,0.3780305284353378,mri_1,SyN,0.949698551246288,0.9042152159013024
42,23S-3,cell_count_100,0.3825129103620591,mri_1,SyN,0.9532174556213018,0.910616498851793
43,23S-3,cell_count_100,0.3678642139159055,mri_2,SyN,0.9543797418464872,0.9127402940067848
44,23S-4,cell_count_100,0.3482708166798167,mri_2,SyN,0.9469096671949286,0.8991723100075244
45,23S-5,cell_count_100,0.370138020471259,mri_2,SyN,0.952073552425665,0.9085308941571776
46,23S-1,cell_count_100,0.1478056797077405,mri_1,SyNOnly,0.5816987501140407,0.4101376559886787
47,23S-2,cell_count_100,0.1038419064166457,mri_1,SyNOnly,0.4500566054167029,0.2903697044611754
48,23S-3,cell_count_100,0.1235239864888927,mri_1,SyNOnly,0.4840681733975546,0.3193205425882928
49,23S-3,cell_count_100,0.1126964671439107,mri_2,SyNOnly,0.4652579478393299,0.3031505829818903
50,23S-4,cell_count_100,0.0928393065236479,mri_2,SyNOnly,0.3979037993636534,0.2483644859813084
51,23S-5,cell_count_100,0.1079241209787225,mri_2,SyNOnly,0.4487416188902924,0.2892758707090954
52,23S-1,cell_count_100,0.3782912850067488,mri_1,SyNRA,0.9504680541670454,0.9056113612746796
53,23S-2,cell_count_100,0.3808241017740172,mri_1,SyNRA,0.9477846679248676,0.900751622822002
54,23S-3,cell_count_100,0.382405697170102,mri_1,SyNRA,0.9566262831776566,0.91685871299415
55,23S-3,cell_count_100,0.3740536410706045,mri_2,SyNRA,0.9522803648583772,0.9089076246334312
56,23S-4,cell_count_100,0.3478598089146755,mri_2,SyNRA,0.9483062463285686,0.9016942841184136
57,23S-5,cell_count_100,0.3714518660796008,mri_2,SyNRA,0.9557696088067624,0.9152861445783133
58,23T-1,cell_count_100,0.2552350899843849,mri_1,Affine,0.8294392523364487,0.7085828343313373
59,23T-2,cell_count_100,0.1392496485016845,mri_1,Affine,0.689906651108518,0.526608773101759
60,23T-3,cell_count_100,0.0170853788653395,mri_1,Affine,0.0587143948488486,0.0302451090622891
61,23T-3,cell_count_100,0.3677376904334269,mri_2,Affine,0.9308690243468988,0.8706781914893617
62,23T-4,cell_count_100,0.2747869571730552,mri_2,Affine,0.8765457543281121,0.7802238121445606
63,23T-5,cell_count_100,0.3161247852950359,mri_2,Affine,0.8810109405478755,0.7873275731393058
64,23T-1,cell_count_100,0.0371384130369881,mri_1,Rigid,0.3400180261378999,0.204832360526673
65,23T-2,cell_count_100,0.150170319095811,mri_1,Rigid,0.7052616965153408,0.5447137036242762
66,23T-3,cell_count_100,0.2690073837655234,mri_1,Rigid,0.832159058005984,0.7125619834710744
67,23T-3,cell_count_100,0.3677376904334269,mri_2,Rigid,0.9308690243468988,0.8706781914893617
68,23T-4,cell_count_100,0.2747869571730552,mri_2,Rigid,0.8765457543281121,0.7802238121445606
69,23T-5,cell_count_100,0.0605578126148385,mri_2,Rigid,0.4298185552892845,0.2737381445546713
70,23T-1,cell_count_100,0.2797257020788734,mri_1,SyN,0.8912704193112059,0.8038663663663663
71,23T-2,cell_count_100,0.2632911910048351,mri_1,SyN,0.9075125208681136,0.8306845965770171
72,23T-3,cell_count_100,0.3108979879599756,mri_1,SyN,0.8960197469916693,0.8116266070430408
73,23T-3,cell_count_100,0.3878119479486018,mri_2,SyN,0.9558021098581304,0.9153457585786448
74,23T-4,cell_count_100,0.3495219901260536,mri_2,SyN,0.9586604862359284,0.9206031976744186
75,23T-5,cell_count_100,0.3472454336272979,mri_2,SyN,0.9496230924802354,0.90407841764397
76,23T-1,cell_count_100,0.068103331932765,mri_1,SyNOnly,0.3232775398987932,0.1928032501450957
77,23T-2,cell_count_100,0.0337548981441084,mri_1,SyNOnly,0.2921005136748577,0.1710291009591936
78,23T-3,cell_count_100,0.070650771229782,mri_1,SyNOnly,0.3706205964675224,0.2274612012794692
79,23T-3,cell_count_100,0.1265916630289529,mri_2,SyNOnly,0.5091975473207144,0.3415593705293276
80,23T-4,cell_count_100,0.1208353841908813,mri_2,SyNOnly,0.5432811211871393,0.3729485002829655
81,23T-5,cell_count_100,0.1167135555529855,mri_2,SyNOnly,0.4941056738190145,0.3281144401892318
82,23T-1,cell_count_100,0.2811985945087936,mri_1,SyNRA,0.8714771137317611,0.7722281261069784
83,23T-2,cell_count_100,0.2564658993592494,mri_1,SyNRA,0.903442861949086,0.8238903661280426
84,23T-3,cell_count_100,0.3141692748949431,mri_1,SyNRA,0.9003536509257333,0.8187665531592887
85,23T-3,cell_count_100,0.39115420325617,mri_2,SyNRA,0.9616124599175446,0.926063172754544
86,23T-4,cell_count_100,0.3547820689600623,mri_2,SyNRA,0.9622464312546958,0.9272398190045248
87,23T-5,cell_count_100,0.3468823001118733,mri_2,SyNRA,0.9541436464088398,0.9123085050184891
88,23U-1,cell_count_100,0.3782693349336731,mri_1,Affine,0.9340994792601902,0.8763477088948787
89,23U-2,cell_count_100,0.2673541654020608,mri_1,Affine,0.8501898179694344,0.7394175414832374
90,23U-3,cell_count_100,0.373831642792627,mri_1,Affine,0.9191548803911296,0.8504038772213247
91,23U-3,cell_count_100,0.3567304591494283,mri_2,Affine,0.9006045519203414,0.819181627041889
92,23U-4,cell_count_100,0.347980165742034,mri_2,Affine,0.9161811689532042,0.8453268597190914
93,23U-5,cell_count_100,0.2853771174095816,mri_2,Affine,0.8313780423743652,0.7114174408151034
94,23U-1,cell_count_100,0.3782693349336731,mri_1,Rigid,0.9340994792601902,0.8763477088948787
95,23U-2,cell_count_100,0.3588731899887547,mri_1,Rigid,0.923431407302375,0.8577543628580836
96,23U-3,cell_count_100,0.1248260284810531,mri_1,Rigid,0.605801153241307,0.4345156034590801
97,23U-3,cell_count_100,0.3567304591494283,mri_2,Rigid,0.9006045519203414,0.819181627041889
98,23U-4,cell_count_100,0.3574974034534861,mri_2,Rigid,0.9118858083996706,0.8380423814328961
99,23U-5,cell_count_100,0.3457762902513229,mri_2,Rigid,0.8993276557597489,0.8170711842319596
100,23U-1,cell_count_100,0.3970433974633798,mri_1,SyN,0.9701240135287486,0.9419813902572524
101,23U-2,cell_count_100,0.3880005795982183,mri_1,SyN,0.9666543846720708,0.9354608664646104
102,23U-3,cell_count_100,0.4074741928927237,mri_1,SyN,0.9660113907771448,0.9342572850035537
103,23U-3,cell_count_100,0.3843206013728523,mri_2,SyN,0.9616102110947472,0.9260590015128594
104,23U-4,cell_count_100,0.3811164522191365,mri_2,SyN,0.9598620557524667,0.9228218824829618
105,23U-5,cell_count_100,0.3762350338969588,mri_2,SyN,0.9581931763575204,0.9197416974169742
106,23U-1,cell_count_100,0.1141499671892034,mri_1,SyNOnly,0.4826719339199138,0.3181065088757396
107,23U-2,cell_count_100,0.0985606315646617,mri_1,SyNOnly,0.4441687344913151,0.2854864433811802
108,23U-3,cell_count_100,0.1441966192373565,mri_1,SyNOnly,0.5460101274663872,0.3755253993034706
109,23U-3,cell_count_100,0.1440128310937532,mri_2,SyNOnly,0.5435633001422475,0.373214503723599
110,23U-4,cell_count_100,0.1332347596712071,mri_2,SyNOnly,0.5054442309451916,0.3381902779478388
111,23U-5,cell_count_100,0.1448628057713617,mri_2,SyNOnly,0.5584939489018378,0.3874378109452736
112,23U-1,cell_count_100,0.4007496114143199,mri_1,SyNRA,0.9685546328263508,0.9390265967070744
113,23U-2,cell_count_100,0.3892283341499967,mri_1,SyNRA,0.971651640487034,0.9448662328271872
114,23U-3,cell_count_100,0.404340056598518,mri_1,SyNRA,0.9714125560538116,0.9444141689373295
115,23U-3,cell_count_100,0.392097561973964,mri_2,SyNRA,0.9656759348034516,0.9336299592139414
116,23U-4,cell_count_100,0.3771151500706428,mri_2,SyNRA,0.9550981330780278,0.9140553417628734
117,23U-5,cell_count_100,0.3632348370554914,mri_2,SyNRA,0.9500525260242576,0.9048571948335457
118,23W-1,cell_count_100,0.2705137749225291,mri_1,Affine,0.9403530127814972,0.887421022400919
119,23W-2,cell_count_100,0.2161405751237314,mri_1,Affine,0.8602909713307659,0.7548338652149428
120,23W-3,cell_count_100,0.2907023695858587,mri_1,Affine,0.8462123131492272,0.7334211682037769
121,23W-3,cell_count_100,0.2825414304550034,mri_2,Affine,0.8319478961350587,0.7122523844460749
122,23W-4,cell_count_100,0.1180065914503904,mri_2,Affine,0.6479623182469793,0.4792487125113602
123,23W-5,cell_count_100,0.2457720389442397,mri_2,Affine,0.8032623169107856,0.6712100139082059
124,23W-1,cell_count_100,0.2705137749225291,mri_1,Rigid,0.9403530127814972,0.887421022400919
125,23W-2,cell_count_100,0.2579183820561096,mri_1,Rigid,0.9288842544316998,0.8672118380062306
126,23W-3,cell_count_100,0.2907023695858587,mri_1,Rigid,0.8462123131492272,0.7334211682037769
127,23W-3,cell_count_100,0.2825414304550034,mri_2,Rigid,0.8319478961350587,0.7122523844460749
128,23W-4,cell_count_100,0.3095931537412238,mri_2,Rigid,0.9255482878030012,0.8614145031333931
129,23W-5,cell_count_100,0.2457720389442397,mri_2,Rigid,0.8032623169107856,0.6712100139082059
130,23W-1,cell_count_100,0.2908934800300425,mri_1,SyN,0.9654760720326336,0.9332563954606656
131,23W-2,cell_count_100,0.2897426272301627,mri_1,SyN,0.966461599523715,0.935099846390169
132,23W-3,cell_count_100,0.3068419894423079,mri_1,SyN,0.9611083621969322,0.925128595923033
133,23W-3,cell_count_100,0.3097210491552496,mri_2,SyN,0.9418178213896322,0.8900337204945673
134,23W-4,cell_count_100,0.3122144164438035,mri_2,SyN,0.9572649572649572,0.918032786885246
135,23W-5,cell_count_100,0.293350594696368,mri_2,SyN,0.9313596268883708,0.8715370018975332
136,23W-1,cell_count_100,0.0959393928731121,mri_1,SyNOnly,0.4512071414079935,0.2913282682735132
137,23W-2,cell_count_100,0.0678933561626052,mri_1,SyNOnly,0.3766030653737879,0.2319845857418112
138,23W-3,cell_count_100,0.1107850755940964,mri_1,SyNOnly,0.4546913267460518,0.2942398076292491
139,23W-3,cell_count_100,0.1018195206592295,mri_2,SyNOnly,0.4561103023036739,0.2954293321499889
140,23W-4,cell_count_100,0.0483334753246058,mri_2,SyNOnly,0.3307041169680646,0.1981099458338135
141,23W-5,cell_count_100,0.0522498722953291,mri_2,SyNOnly,0.3397137150466045,0.2046115288220551
142,23W-1,cell_count_100,0.2904834944343168,mri_1,SyNRA,0.9668993020937188,0.9359197066203436
143,23W-2,cell_count_100,0.284025238997261,mri_1,SyNRA,0.9622013909888116,0.9271561771561772
144,23W-3,cell_count_100,0.3014741833681583,mri_1,SyNRA,0.9645219482862296,0.9314750290360048
145,23W-3,cell_count_100,0.3041678649748054,mri_2,SyNRA,0.9458823529411764,0.8973214285714286
146,23W-4,cell_count_100,0.3140709202644948,mri_2,SyNRA,0.9432519847103792,0.89259877573734
147,23W-5,cell_count_100,0.2948825106309186,mri_2,SyNRA,0.8981771312833733,0.8151737967914439
148,23X-1,cell_count_100,0.1487564529803196,mri_1,Affine,0.6601352013324189,0.4926879204445744
149,23X-2,cell_count_100,0.2197019555126835,mri_1,Affine,0.7694332723948811,0.6252674114570953
150,23X-3,cell_count_100,0.1710673405350932,mri_1,Affine,0.7333101932199468,0.5789185239313116
151,23X-3,cell_count_100,0.1260991029234701,mri_2,Affine,0.6038559476173153,0.4325169359041167
152,23X-4,cell_count_100,0.2666860614504851,mri_2,Affine,0.945407835581246,0.8964677222898904
153,23X-5,cell_count_100,0.0858345669416598,mri_2,Affine,0.5196203428247627,0.3510047846889952
154,23X-1,cell_count_100,0.0617103718935426,mri_1,Rigid,0.3380619012527634,0.2034142556257621
155,23X-2,cell_count_100,0.2197019555126835,mri_1,Rigid,0.7694332723948811,0.6252674114570953
156,23X-3,cell_count_100,0.1710673405350932,mri_1,Rigid,0.7333101932199468,0.5789185239313116
157,23X-3,cell_count_100,0.1714285795765942,mri_2,Rigid,0.7374782103428239,0.5841310751104566
158,23X-4,cell_count_100,0.2666860614504851,mri_2,Rigid,0.945407835581246,0.8964677222898904
159,23X-5,cell_count_100,0.0896283176794497,mri_2,Rigid,0.5287906518372518,0.3594258373205741
160,23X-1,cell_count_100,0.3397684904590743,mri_1,SyN,0.95855788886824,0.9204139900071378
161,23X-2,cell_count_100,0.2615496484367438,mri_1,SyN,0.9623026926648096,0.927344309234073
162,23X-3,cell_count_100,0.1935377790417853,mri_1,SyN,0.7894389438943895,0.6521264994547438
163,23X-3,cell_count_100,0.2898729137947605,mri_2,SyN,0.9133936561598888,0.8405929721815519
164,23X-4,cell_count_100,0.2730655375639775,mri_2,SyN,0.9713793433521586,0.944351386562442
165,23X-5,cell_count_100,0.2689225795549706,mri_2,SyN,0.9556327160493828,0.9150350942002216
166,23X-1,cell_count_100,0.1269760161884398,mri_1,SyNOnly,0.489085382702404,0.3237015362106803
167,23X-2,cell_count_100,0.1366626826867956,mri_1,SyNOnly,0.553126142595978,0.3822905084403113
168,23X-3,cell_count_100,0.0162829710195628,mri_1,SyNOnly,0.1649890084461413,0.0899117276166456
169,23X-3,cell_count_100,0.0171586648537914,mri_2,SyNOnly,0.1682351574299988,0.091843206900926
170,23X-4,cell_count_100,0.118881630973941,mri_2,SyNOnly,0.4820625745481237,0.3175773694390715
171,23X-5,cell_count_100,0.0942002851978221,mri_2,SyNOnly,0.4786709840912291,0.3146400148065889
172,23X-1,cell_count_100,0.3412334026051049,mri_1,SyNRA,0.9610292746597052,0.9249820531227566
173,23X-2,cell_count_100,0.2520450634337797,mri_1,SyNRA,0.9629982834255196,0.9286371160566488
174,23X-3,cell_count_100,0.2713975141560616,mri_1,SyNRA,0.9037417316615658,0.8243876080691642
175,23X-3,cell_count_100,0.2927394713243266,mri_2,SyNRA,0.930938123752495,0.8707991038088125
176,23X-4,cell_count_100,0.2720545342042013,mri_2,SyNRA,0.9679119224616544,0.937819110138585
177,23X-5,cell_count_100,0.1105327890277703,mri_2,SyNRA,0.5985010706638115,0.4270435446906035
178,23Y-1,cell_count_100,0.0237311293981719,mri_1,Affine,0.2650116698493528,0.1527455056866821
179,23Y-2,cell_count_100,0.2875210681222357,mri_1,Affine,0.9454905847373638,0.8966165413533834
180,23Y-3,cell_count_100,0.2910091674579841,mri_1,Affine,0.9661154784494442,0.9344520188778186
181,23Y-3,cell_count_100,0.1160609113899946,mri_2,Affine,0.6238045639617461,0.4532819595431402
182,23Y-4,cell_count_100,0.0915089026812831,mri_2,Affine,0.4519822527551166,0.2919748520710059
183,23Y-5,cell_count_100,0.2985627015528684,mri_2,Affine,0.9120955182557536,0.838396691585812
184,23Y-1,cell_count_100,0.2348423968188003,mri_1,Rigid,0.8828499259646373,0.7902697645407766
185,23Y-2,cell_count_100,0.2908125920717021,mri_1,Rigid,0.9513425842494144,0.9072005499226672
186,23Y-3,cell_count_100,0.2910091674579841,mri_1,Rigid,0.9661154784494442,0.9344520188778186
187,23Y-3,cell_count_100,0.1239242320611566,mri_2,Rigid,0.6226363387229378,0.4520493434142459
188,23Y-4,cell_count_100,0.0512098837857181,mri_2,Rigid,0.3502681343494214,0.2123182207014542
189,23Y-5,cell_count_100,0.1519298459800867,mri_2,Rigid,0.6740503590897291,0.508352910467241
190,23Y-1,cell_count_100,0.2750519434446611,mri_1,SyN,0.9704248073131384,0.9425487465181058
191,23Y-2,cell_count_100,0.3092431974612268,mri_1,SyN,0.9704830053667264,0.9426585577758472
192,23Y-3,cell_count_100,0.2936560572378332,mri_1,SyN,0.971217179464044,0.9440449044027364
193,23Y-3,cell_count_100,0.2934457102956077,mri_2,SyN,0.9644383810823102,0.9313191638854734
194,23Y-4,cell_count_100,0.1296227104496846,mri_2,SyN,0.5440365738873202,0.3736608792020687
